date,city,avg_NO2
2021-06-25,Paris,21.29
2021-06-26,Paris,13.03
2021-06-27,Paris,12.7
2021-06-28,Paris,15.81
2021-06-29,Paris,25.8
2021-06-30,Paris,21.93
2021-07-01,Paris,25.33
2021-07-02,Paris,18.06
2021-07-03,Paris,9.66
2021-07-04,Paris,10.16
2021-07-05,Paris,12.18
2021-07-06,Paris,4.74
2021-07-07,Paris,12.84
2021-07-08,Paris,19.42
2021-07-09,Paris,36.39
2021-07-10,Paris,16.24
2021-07-11,Paris,11.41
2021-07-12,Paris,14.65
2021-07-13,Paris,14.75
2021-07-14,Paris,10.54
2021-07-15,Paris,8.94
2021-07-16,Paris,9.71
2021-07-17,Paris,8.73
2021-07-18,Paris,6.75
2021-07-19,Paris,10.07
2021-07-20,Paris,13.07
2021-07-21,Paris,14.17
2021-07-22,Paris,13.6
2021-07-23,Paris,9.92
2021-07-24,Paris,5.94
2021-07-25,Paris,6.47
2021-07-26,Paris,18.03
2021-07-27,Paris,11.0
2021-07-28,Paris,7.42
2021-07-29,Paris,11.98
2021-07-30,Paris,8.1
2021-07-31,Paris,9.84
2021-08-01,Paris,15.66
2021-08-02,Paris,20.54
2021-08-03,Paris,25.7
2021-08-04,Paris,32.82
2021-08-05,Paris,15.56
2021-08-06,Paris,6.8
2021-08-07,Paris,5.91
2021-08-08,Paris,5.9
2021-08-09,Paris,10.28
2021-08-10,Paris,20.58
2021-08-11,Paris,41.78
2021-08-12,Paris,32.73
2021-08-13,Paris,24.97
2021-08-14,Paris,22.51
2021-08-15,Paris,18.23
2021-08-16,Paris,10.27
2021-08-17,Paris,18.09
2021-08-18,Paris,19.52
2021-08-19,Paris,32.61
2021-08-20,Paris,30.75
2021-08-21,Paris,15.29
2021-08-22,Paris,8.77
2021-08-23,Paris,14.91
2021-08-24,Paris,9.22
2021-08-25,Paris,10.83
2021-08-26,Paris,14.98
2021-08-27,Paris,12.98
2021-08-28,Paris,11.48
2021-08-29,Paris,9.83
2021-08-30,Paris,12.42
2021-08-31,Paris,11.42
2021-09-01,Paris,12.46
2021-09-02,Paris,15.52
2021-09-03,Paris,37.12
2021-09-04,Paris,39.19
2021-09-05,Paris,31.88
2021-09-06,Paris,30.67
2021-09-07,Paris,20.49
2021-09-08,Paris,15.59
2021-09-09,Paris,21.4
2021-09-10,Paris,26.86
2021-09-11,Paris,33.69
2021-09-12,Paris,45.48
2021-09-13,Paris,22.89
2021-09-14,Paris,26.09
2021-09-15,Paris,27.88
2021-09-16,Paris,44.74
2021-09-17,Paris,41.96
2021-09-18,Paris,25.68
2021-09-19,Paris,25.78
2021-09-20,Paris,34.95
2021-09-21,Paris,29.33
2021-09-22,Paris,39.84
2021-09-23,Paris,51.66
2021-09-24,Paris,55.99
2021-09-25,Paris,26.57
2021-09-26,Paris,18.45
2021-09-27,Paris,25.9
2021-09-28,Paris,27.61
2021-09-29,Paris,18.29
2021-09-30,Paris,28.75
2021-10-01,Paris,19.5
2021-10-02,Paris,12.7
2021-10-03,Paris,14.81
2021-10-04,Paris,17.63
2021-10-05,Paris,12.03
2021-10-06,Paris,25.07
2021-10-07,Paris,47.24
2021-10-08,Paris,25.73
2021-10-09,Paris,28.89
2021-10-10,Paris,37.34
2021-10-11,Paris,37.96
2021-10-12,Paris,40.0
2021-10-13,Paris,58.59
2021-10-14,Paris,70.92
2021-10-15,Paris,69.59
2021-10-16,Paris,34.97
2021-10-17,Paris,33.32
2021-10-18,Paris,27.46
2021-10-19,Paris,17.85
2021-10-20,Paris,9.34
2021-10-21,Paris,27.19
2021-10-22,Paris,43.62
2021-10-23,Paris,41.54
2021-10-24,Paris,25.43
